uuid,name,brand,street,house_number,post_code,city,latitude,longitude
00060723-0001-4444-8888-acdc00000001,BAGeno Raiffeisen eG,"",Künzelsauer Strasse,7,74653,Ingelfingen ,49.296821594238,9.6613845825195
005056ba-7cb6-1ed2-bceb-5332ab168d12,famila Tankstelle,FAMILA,Pascalstrasse,9,25442,Quickborn,53.74215,9.94124
005056ba-7cb6-1ed2-bceb-573c18314d16,star Tankstelle,STAR,Riehler Strasse,240,50735,Köln,50.9618,6.98007
005056ba-7cb6-1ed2-bceb-662ba1a94d1f,star Tankstelle,STAR,BAB 10 / Seeberg Ost,"",15345,Altlandsberg,52.55016,13.68212
005056ba-7cb6-1ed2-bceb-6f7b23564d23,star Tankstelle,STAR,Duisburger Straße,130,47166,Duisburg,51.48979,6.78373
005056ba-7cb6-1ed2-bceb-87f71ccd4d30,star Tankstelle,STAR,Hochdahler Straße,127,40724,Hilden,51.17626,6.93881
005056ba-7cb6-1ed2-bceb-8cf3efd04d33,star Tankstelle,STAR,Coswigerstraße,5,39261,Zerbst,51.96113,12.09988
005056ba-7cb6-1ed2-bceb-9c6b14bcad3c,star Tankstelle,STAR,Monschauer Straße,69,52355,Dueren,50.79344,6.47057
005056ba-7cb6-1ed2-bceb-a256fd5a8d3e,star Tankstelle,STAR,Klausdorfer Straße,121,24161,Altenholz,54.40597,10.12324
005056ba-7cb6-1ed2-bceb-a86eb5988d41,star Tankstelle,STAR,Gasanstalt,4,06311,Helbra,51.55539,11.48784
005056ba-7cb6-1ed2-bceb-bc577a5e6d4e,star Tankstelle,STAR,Hamburger Strasse,141,25337,Elmshorn,53.74973,9.68062
005056ba-7cb6-1ed2-bceb-ca8fb0594d54,star Tankstelle,STAR,Lange Lauchstädter Straße,2 a,06179,Teutschenthal,51.45225,11.81683
02c3a06b-41c8-4c6a-87ca-32223c52df3a,Aral Tankstelle,ARAL,Winterhuder Weg,25,22085,Hamburg,53.5735741,10.0225811
030e4dbb-bab4-4d78-9a68-0c9a7e7b59af,August Jaeger Nachf. GmbH & Co. KG - Meinerzhagen ,Freie,Oststr. ,42,58540,Meinerzhagen,51.10609,7.65476
