Date,Confirmed,Recovered,Deaths,Increase rate
1/22/2020,555,28,17,
1/23/2020,654,30,18,17.83783784
1/24/2020,941,36,26,43.88379205
1/25/2020,1434,39,42,52.39107333
1/26/2020,2118,52,56,47.69874477
1/27/2020,2927,61,82,38.19641171
1/28/2020,5578,107,131,90.57055005
1/29/2020,6166,126,133,10.54141269
1/30/2020,8234,143,171,33.53876095
1/31/2020,9927,222,213,20.56108817
2/1/2020,12038,284,259,21.26523622
2/2/2020,16787,472,362,39.45007476
2/3/2020,19881,623,426,18.43092869
2/4/2020,23892,852,492,20.1750415
2/5/2020,27635,1124,564,15.66633183
2/6/2020,30794,1487,634,11.43115614
2/7/2020,34391,2011,719,11.68084692
2/8/2020,37120,2616,806,7.935215609
2/9/2020,40150,3244,906,8.162715517
2/10/2020,42762,3946,1013,6.505603985
2/11/2020,44802,4683,1113,4.770590711
2/12/2020,45221,5150,1118,0.935226106
2/13/2020,60368,6295,1371,33.49549988
2/14/2020,66885,8058,1523,10.79545455
2/15/2020,69030,9395,1666,3.206997085
2/16/2020,71224,10865,1770,3.178328263
2/17/2020,73258,12583,1868,2.855778951
2/18/2020,75136,14352,2007,2.563542548
2/19/2020,75639,16121,2122,0.669452726
2/20/2020,76197,18177,2247,0.737714671
2/21/2020,76819,18890,2251,0.816305104
2/22/2020,78572,22886,2458,2.281987529
2/23/2020,78958,23394,2469,0.491269154
2/24/2020,79561,25227,2629,0.763697155
2/25/2020,80406,27905,2708,1.062078154
2/26/2020,81388,30384,2770,1.221301893
2/27/2020,82746,33277,2814,1.668550646
2/28/2020,84112,36711,2872,1.650835086
2/29/2020,86011,39782,2941,2.257704014
3/1/2020,88369,42716,2996,2.741509807
3/2/2020,90306,45602,3085,2.191945139
3/3/2020,92840,48228,3160,2.806015104
3/4/2020,95120,51170,3254,2.455838001
3/5/2020,97886,53796,3347,2.907905803
3/6/2020,101801,55865,3459,3.999550498
3/7/2020,105847,58358,3558,3.974420683
3/8/2020,109821,60694,3801,3.7544758
3/9/2020,113590,62494,3987,3.431948352
3/10/2020,118620,64404,4263,4.428206708
3/11/2020,125875,67003,4614,6.11616928
3/12/2020,128352,68324,4722,1.967825223
3/13/2020,145223,70251,5408,13.14432186
3/14/2020,156118,72624,5830,7.502255152
3/15/2020,167470,76034,6472,7.271422898
3/16/2020,181624,78088,7150,8.451662984
3/17/2020,197134,80840,7956,8.539620314
3/18/2020,214875,83312,8823,8.999462295
3/19/2020,242631,84975,9946,12.91727749
3/20/2020,272263,87420,11422,12.21278402
3/21/2020,304580,91692,13125,11.86977298
3/22/2020,337018,97899,14825,10.65007551
3/23/2020,378282,98351,16759,12.24385641
3/24/2020,418106,108000,19014,10.52759581
3/25/2020,467751,113787,21785,11.8737832
3/26/2020,529722,122150,24788,13.24871566
3/27/2020,593459,130915,28288,12.03216027
3/28/2020,660853,139415,31798,11.35613412
3/29/2020,720290,149082,35323,8.99398202
3/30/2020,782500,164566,39439,8.636799067
3/31/2020,857608,178034,44238,9.598466454
4/1/2020,932650,193198,49675,8.750151584
4/2/2020,1013477,210269,55817,8.666380743
4/3/2020,1095893,225814,61812,8.132004969
4/4/2020,1176059,246152,67981,7.315130218
4/5/2020,1249743,260023,73077,6.265331926
4/6/2020,1321436,276534,78767,5.736619449
4/7/2020,1396438,300054,86662,5.67579512
4/8/2020,1480232,328703,93354,6.000552835
4/9/2020,1565555,353989,100882,5.764163996
4/10/2020,1657950,376104,108113,5.901740916
4/11/2020,1736032,402120,114146,4.709550951
4/12/2020,1835145,421722,119853,5.709168955
4/13/2020,1905160,448672,125561,3.815229859
4/14/2020,1975566,473980,132439,3.695542632
4/15/2020,2055424,510516,140659,4.042284591
4/16/2020,2151792,541592,147946,4.688473035
4/17/2020,2239634,567765,156804,4.082271892
4/18/2020,2317243,591719,163214,3.465253698
4/19/2020,2400787,623307,167772,3.605318907
4/20/2020,2471727,645308,173097,2.954864384
4/21/2020,2549046,679905,180236,3.128136724
4/22/2020,2624608,710046,186912,2.964324692
4/23/2020,2708403,738980,193665,3.192667248
4/24/2020,2795731,789585,199997,3.224335522
4/25/2020,2881140,817405,206187,3.054979181
4/26/2020,2955033,845985,209900,2.564713967
4/27/2020,3023722,873677,214444,2.324474887
4/28/2020,3097229,906955,220801,2.431010523
4/29/2020,3172287,948425,227665,2.423392006
4/30/2020,3256910,1013886,233360,2.667570746
5/1/2020,3345558,1052415,238619,2.721843711
5/2/2020,3427584,1093137,243813,2.451788312
5/3/2020,3506729,1125236,247470,2.309060843
5/4/2020,3583055,1162724,251537,2.176558268
5/5/2020,3662691,1198832,257239,2.222572637
5/6/2020,3756069,1245413,263855,2.549437012
5/7/2020,3845718,1284741,269567,2.38677724
5/8/2020,3938064,1322050,274898,2.401268112
5/9/2020,4024009,1375624,279311,2.182417553
5/10/2020,4101699,1408980,282709,1.930661686
5/11/2020,4177502,1456209,286330,1.848087829
5/12/2020,4261747,1493414,291942,2.016635779
5/13/2020,4347018,1548547,297197,2.000846132
5/14/2020,4442163,1587893,302418,2.1887418
5/15/2020,4542347,1637067,307666,2.255297701
5/16/2020,4634068,1693197,311781,2.019242475
5/17/2020,4713620,1733963,315185,1.716677442
5/18/2020,4801943,1786875,318481,1.873782783
5/19/2020,4897492,1888619,323285,1.989798713
