BOOKID,ORDER_DATE,CARRID,CONNID,FLDATE,WEEKDAY,MONTH,DAYS_BOOKED_AHEAD,LUGGWEIGHT,CUSTTYPE,COUNTER,AGENCYNUM,INVOICE,COUNTRYFR,CITYFROM,AIRPFROM,COUNTRYTO,CITYTO,AIRPTO,FLTIME,DEPTIME,ARRTIME,PERIOD,CLASS,BOOKED_PRICE,TPRICE_180N,TPRICE_90N,TPRICE_30N,TPRICE_7N
1656,20221006,LH,400,20221228,2,12,83,0,P,0,291,,DE,FRANKFURT,FRA,US,NEW YORK,JFK,1444,101000,113400,2,Y,666,599.4,616.05,666,699.3
1711,20220813,LH,400,20221228,2,12,137,0,P,0,120,,DE,FRANKFURT,FRA,US,NEW YORK,JFK,1444,101000,113400,2,Y,666,599.4,666,699.3,705.96
3653,20220908,LH,401,20221228,2,12,111,0,P,0,291,,US,NEW YORK,JFK,DE,FRANKFURT,FRA,1435,183000,74500,2,Y,666,599.4,666,699.3,705.96
3678,20220808,LH,401,20221228,2,12,142,0,P,0,120,,US,NEW YORK,JFK,DE,FRANKFURT,FRA,1435,183000,74500,2,Y,666,599.4,666,699.3,705.96
3718,20220906,LH,401,20221228,2,12,113,0,P,0,110,,US,NEW YORK,JFK,DE,FRANKFURT,FRA,1435,183000,74500,2,Y,666,599.4,666,699.3,705.96
3730,20220822,LH,401,20221228,2,12,128,0,P,0,87,X,US,NEW YORK,JFK,DE,FRANKFURT,FRA,1435,183000,74500,2,Y,666,599.4,666,699.3,705.96
3744,20220824,LH,401,20221228,2,12,126,0,P,0,119,X,US,NEW YORK,JFK,DE,FRANKFURT,FRA,1435,183000,74500,2,Y,666,599.4,666,699.3,705.96
6233,20221002,LH,402,20221228,2,12,87,0,P,0,294,,DE,FRANKFURT,FRA,US,NEW YORK,JFK,1455,133000,150500,2,Y,666,599.4,616.05,666,699.3
6325,20221107,LH,402,20221228,2,12,51,0,P,0,101,X,DE,FRANKFURT,FRA,US,NEW YORK,JFK,1455,133000,150500,2,Y,666,599.4,616.05,666,699.3
6329,20220815,LH,402,20221228,2,12,135,0,P,0,284,,DE,FRANKFURT,FRA,US,NEW YORK,JFK,1455,133000,150500,2,Y,666,599.4,666,699.3,705.96
6442,20220827,LH,402,20221228,2,12,123,0,P,0,115,X,DE,FRANKFURT,FRA,US,NEW YORK,JFK,1455,133000,150500,2,Y,666,599.4,666,699.3,705.96
6446,20221004,LH,402,20221228,2,12,85,0,P,0,116,,DE,FRANKFURT,FRA,US,NEW YORK,JFK,1455,133000,150500,2,Y,666,599.4,616.05,666,699.3
6450,20220829,LH,402,20221228,2,12,121,0,P,0,294,X,DE,FRANKFURT,FRA,US,NEW YORK,JFK,1455,133000,150500,2,Y,666,599.4,666,699.3,705.96
